ano;qtde_ocorrencias;crime;regiao;estado
2012;344;Latrocinio;sudeste;sao paulo
2012;8;Latrocinio;norte;tocantins
2013;13;Latrocinio;norte;acre
2013;79;Latrocinio;nordeste;alagoas
2013;36;Latrocinio;norte;amazonas
2013;9;Latrocinio;norte;amapa
2013;151;Latrocinio;nordeste;bahia
2013;107;Latrocinio;nordeste;ceara
2013;29;Latrocinio;centro-oeste;distrito federal
2013;35;Latrocinio;sudeste;espirito santo
2013;124;Latrocinio;centro-oeste;goias
2013;63;Latrocinio;nordeste;maranhao
2013;84;Latrocinio;sudeste;minas gerais
2013;26;Latrocinio;centro-oeste;mato grosso do sul
2013;45;Latrocinio;centro-oeste;mato grosso
2013;156;Latrocinio;norte;para
2013;28;Latrocinio;nordeste;paraiba
2013;73;Latrocinio;nordeste;pernambuco
2013;29;Latrocinio;nordeste;piaui
2013;46;Latrocinio;sul;parana
2013;148;Latrocinio;sudeste;rio de janeiro
2013;16;Latrocinio;nordeste;rio grande do norte
2013;10;Latrocinio;norte;rondonia
2013;2;Latrocinio;norte;roraima
2013;129;Latrocinio;sul;rio grande do sul
2013;55;Latrocinio;sul;santa catarina
2013;35;Latrocinio;nordeste;sergipe
2013;380;Latrocinio;sudeste;sao paulo
2013;20;Latrocinio;norte;tocantins
2014;7;Latrocinio;norte;acre
2014;61;Latrocinio;nordeste;alagoas
2014;45;Latrocinio;norte;amazonas
2014;15;Latrocinio;norte;amapa
2014;199;Latrocinio;nordeste;bahia
2014;75;Latrocinio;nordeste;ceara
2014;50;Latrocinio;centro-oeste;distrito federal
2014;50;Latrocinio;sudeste;espirito santo
2014;167;Latrocinio;centro-oeste;goias
2014;72;Latrocinio;nordeste;maranhao
2014;63;Latrocinio;sudeste;minas gerais
2014;42;Latrocinio;centro-oeste;mato grosso do sul
2014;52;Latrocinio;centro-oeste;mato grosso
2014;180;Latrocinio;norte;para
2014;19;Latrocinio;nordeste;paraiba
2014;81;Latrocinio;nordeste;pernambuco
2014;35;Latrocinio;nordeste;piaui
2014;105;Latrocinio;sul;parana
2014;152;Latrocinio;sudeste;rio de janeiro
2014;62;Latrocinio;nordeste;rio grande do norte
2014;17;Latrocinio;norte;rondonia
2014;3;Latrocinio;norte;roraima
2014;141;Latrocinio;sul;rio grande do sul
2014;57;Latrocinio;sul;santa catarina
2014;33;Latrocinio;nordeste;sergipe
2014;385;Latrocinio;sudeste;sao paulo
2014;14;Latrocinio;norte;tocantins
2015;10;Latrocinio;norte;acre
2015;55;Latrocinio;nordeste;alagoas
2015;73;Latrocinio;norte;amazonas
2015;23;Latrocinio;norte;amapa
2015;207;Latrocinio;nordeste;bahia
2015;65;Latrocinio;nordeste;ceara
2015;46;Latrocinio;centro-oeste;distrito federal
2015;37;Latrocinio;sudeste;espirito santo
2015;156;Latrocinio;centro-oeste;goias
2015;117;Latrocinio;nordeste;maranhao
2015;122;Latrocinio;sudeste;minas gerais
2015;36;Latrocinio;centro-oeste;mato grosso do sul
2015;59;Latrocinio;centro-oeste;mato grosso
2015;191;Latrocinio;norte;para
2015;48;Latrocinio;nordeste;paraiba
2015;116;Latrocinio;nordeste;pernambuco
2015;47;Latrocinio;nordeste;piaui
2015;117;Latrocinio;sul;parana
2015;133;Latrocinio;sudeste;rio de janeiro
2015;58;Latrocinio;nordeste;rio grande do norte
2015;15;Latrocinio;norte;rondonia
2015;9;Latrocinio;norte;roraima
2015;143;Latrocinio;sul;rio grande do sul
2015;71;Latrocinio;sul;santa catarina
2015;47;Latrocinio;nordeste;sergipe
2015;356;Latrocinio;sudeste;sao paulo
2015;9;Latrocinio;norte;tocantins
2016;8;Latrocinio;norte;acre
